"fid","DLT","LONGITUDE","LATITUDE","dCoastLog","Lat","CRFann","BioClimReg","Elev","PHIHOX","LAI_std","BDTICM","RI_m03","EVI_m03","B11_m08","TannNorm","LAI_djf_avg","B11_m07","B12_m03","CRI1_m10","NDYI_m10","LAI_delta","B11_m03","B11_m05","B8A_m07"
1,NA,12.5103411296703,41.8522317776764,4.34145069122315,41.8523254394531,797.197448730469,3,41,7.17790412902832,0.249700011860114,1319.45288085938,-0.280532043530834,0.472738071095402,0.2443,1.33032500743866,1.34644728617503,0.2443,0.098,1.63698630136986,0.240572171651495,1.12100005324464,0.20395,0.2167,0.27405
2,1,12.5122256133198,41.8514536927774,4.34202432632446,41.8515472412109,797.628845214844,3,43.0207252502441,7.13668489456177,0.605100028740708,1332.61364746094,-0.385898407884761,0.548507462686567,0.1873,1.33302557468414,0.606438917693191,0.1872,0.08215,1.77459016393443,0.27810650887574,3.97100018861238,0.18715,0.1915,0.3652
3,1,12.6307839472125,42.208311755029,4.71886110305786,42.2084045410156,899.497009277344,3,50.0207252502441,7.3559889793396,0.603600028669462,1989.12878417969,-0.296603773584906,0.402127794313216,0.1509,0.814945101737976,0.355644461336649,0.1661,0.0708,2.05882352941176,0.34475374732334,2.84300013503525,0.1513,0.1671,0.3256
4,1,9.45556625133826,45.4713094325084,5.10508298873901,45.4714012145996,936.218383789062,4,103,7.01910161972046,0.647000030730851,2330.64404296875,0.00921187308085976,0.183886283116026,0.1509,-0.941173493862152,0.413894464103376,0.15955,0.10465,1.64024390243902,0.241618497109827,3.74100017768797,0.1641,0.16275,0.41765
5,1,9.70958269782804,45.2829660533639,5.05154705047607,45.2830581665039,815.172302246094,4,60,7.12492418289185,0.574000027263537,2203.34838867188,-0.0940540540540541,0.243962578867213,0.15555,-1.09089088439941,0.602663917513888,0.1671,0.10965,1.2312030075188,0.102866779089376,2.74000013014302,0.17765,0.1508,0.3367
6,1,12.3676236732161,42.2476859682208,4.61335325241089,42.2477798461914,878.23388671875,3,226.407318115234,6.89942836761475,0.481700022879522,1501.86401367188,-0.0743995313415349,0.201717120703485,0.1666,1.41477847099304,0.916308376855644,0.1582,0.08765,1.86666666666667,0.300970873786408,2.93300013931002,0.15535,0.16695,0.3704
7,1,12.4175225119958,42.2290993308058,4.62304401397705,42.2291946411133,857.412414550781,3,98,6.64855670928955,0.651700030954089,1529.21069335938,-0.263897763578275,0.367862541259216,0.1622,0.606762230396271,0.371450017642928,0.1721,0.08575,1.89041095890411,0.306413301662708,3.32900015811902,0.1689,0.174,0.3017
8,1,8.57178978572204,39.4756533062327,4.1078405380249,39.4757423400879,748.903381347656,1,300,6.50977993011475,0.14910000708187,1204.82971191406,-0.0832328106151991,0.295168614605821,0.21525,2.01824903488159,1.78675741087375,0.2173,0.0722,1.50894632206759,0.201587301587302,1.0990000521997,0.1474,0.1726,0.3086
9,1,8.62258350808545,39.5428675910587,4.16015481948853,39.5429573059082,700.486999511719,1,163.383163452148,7.17770671844482,0.216100010264199,1566.275390625,-0.147685525349008,0.306843756934098,0.2188,2.65048813819885,1.37562656106525,0.26285,0.0602,1.44806517311609,0.181666666666667,0.899000042700209,0.12795,0.2094,0.2959
10,1,8.67687428024273,39.1269120258216,4.12278079986572,39.1270027160645,634.343200683594,1,95.7468948364258,7.30037307739258,0.137600006535649,1484.69055175781,-0.153001936733376,0.328351688084728,0.18755,2.86385607719421,1.78132163527978,0.1872,0.06215,1.4883401920439,0.195364238410596,0.700000033248216,0.1294,0.1631,0.2573
11,1,8.5004575729181,39.3376858802373,3.81588292121887,39.337776184082,686.687438964844,1,323.415771484375,6.51591825485229,0.212400010088459,1248.22204589844,-0.152388172858226,0.288948586409464,0.15535,2.70826768875122,1.05431949452193,0.17525,0.06445,1.67484662576687,0.250574712643678,1.25000005937181,0.1318,0.1652,0.2975
12,1,8.67175405425507,39.5797795154334,4.24965143203735,39.5798683166504,609.791015625,1,65,7.10733318328857,0.200800009537488,2747.24829101562,-0.0558882235528942,0.276241558513743,0.2505,2.50087141990662,1.50167784910364,0.2718,0.0914,1.4014598540146,0.16632860040568,0.956000045407563,0.1602,0.2365,0.2842
13,1,8.71962283465062,39.2578629422132,4.40165138244629,39.2579536437988,638.643859863281,1,122.03662109375,7.03790283203125,0.286100013589021,2205.38256835938,-0.157894736842105,0.400332880732338,0.25085,2.6766631603241,1.75268213452998,0.2445,0.0723,1.53148614609572,0.209163346613546,1.28900006122421,0.15425,0.19905,0.2511
14,1,8.71544515837466,39.2591143404071,4.39482831954956,39.259204864502,638.442565917969,1,111.675567626953,7.09426259994507,0.461200021905825,2465.44409179688,-0.193889541715629,0.341984641942973,0.2234,2.63994073867798,1.32020055110665,0.24935,0.0653,1.51381215469613,0.203520352035203,1.46100006939378,0.1382,0.1685,0.2475
15,1,8.70128651592254,39.4812841988038,4.36123180389404,39.481372833252,688.639831542969,1,250,6.51223707199097,0.106500005058479,841.44677734375,-0.240963855421687,0.37455948984729,0.15885,2.16289091110229,1.93523064747407,0.1523,0.0548,1.56546489563567,0.219259259259259,0.574000027263537,0.1087,0.13395,0.2568
16,1,8.89171204710503,38.9002239964147,2.07918119430542,38.9003143310547,538.194885253906,1,49.8636016845703,6.79513072967529,0.224100010644179,1709.79138183594,-0.170285714285714,0.223186387415859,0.1891,3.26382446289062,0.984073917314871,0.19115,0.0389,1.35983827493261,0.151515151515151,1.23400005861185,0.0778,0.1737,0.2157
17,NA,8.50610398170272,39.4256544007405,3.90703773498535,39.4257431030273,734.345153808594,1,75,6.84709739685059,0.397200018865988,1188.81176757812,-0.0490645958348042,0.252724609617438,0.29555,2.04688954353333,0.833118415639376,0.296,0.1273,1.35867446393762,0.15136476426799,0.905000042985193,0.2183,0.27365,0.2151
18,1,8.84265500621553,39.28476650317,4.30405282974243,39.284854888916,564.849060058594,1,63.9896392822266,7.12417650222778,0.20410000969423,2850.974609375,-0.128342245989305,0.336686838124054,0.2002,2.71301794052124,1.45741118033442,0.1982,0.06915,1.52985074626866,0.208661417322835,1.04700004972983,0.14125,0.188,0.25205
19,1,8.4984555855093,39.3904801151427,3.91748356819153,39.3905715942383,708.647155761719,1,339.669494628906,6.31664800643921,0.10200000484474,1172.498046875,-0.114808652246256,0.25526646087045,0.1336,2.28958868980408,1.80957743637766,0.1605,0.0681,1.68518518518519,0.253456221198157,0.674000032013282,0.1321,0.1544,0.2935
20,1,8.49089838751553,39.439645408383,3.83250880241394,39.4397354125977,701.68505859375,1,50.1657905578613,6.98332214355469,0.191700009105261,1130.90844726562,-0.160640189685833,0.347989931255796,0.19015,1.96441996097565,1.20906672409425,0.2119,0.0708,1.94882729211087,0.320782041998552,1.19600005680695,0.1352,0.1873,0.3485
21,1,8.62277820903574,39.5498963911612,4.15519666671753,39.5499877929688,693.198669433594,1,140.620849609375,7.24732303619385,0.164200007799082,1689.26098632812,-0.132342533616419,0.344670957410772,0.2479,2.69855117797852,1.7913147981476,0.2451,0.0794,1.62132921174652,0.236127508854782,0.912000043317676,0.1605,0.1994,0.2944
22,1,8.85981169523795,39.2867708229126,4.27211141586304,39.2868614196777,556.859375,1,74.9669952392578,7.02031755447388,0.225500010710675,2402.77685546875,-0.0622671633847791,0.295610483099938,0.2187,2.82955765724182,1.39331862539764,0.21605,0.0864,1.45295404814004,0.183928571428571,0.81200003856793,0.16105,0.1914,0.26025
23,1,12.4077003642083,41.8382169256678,4.19894123077393,41.8383102416992,792.603820800781,3,14.4694948196411,7.12621688842773,0.444100021093618,1038.71423339844,-0.423597678916828,0.571092432210237,0.1674,1.1951596736908,1.03631393811116,0.1771,0.07295,1.82993197278912,0.292134831460674,3.00500014272984,0.15925,0.1779,0.4106
24,1,12.5516292106125,42.1531632015176,4.63739967346191,42.1532554626465,831.512512207031,3,90,7.38858032226562,0.528100025083404,1363.47668457031,0.0509626274065685,0.100646937972636,0.2021,0.901060461997986,0.599411139581611,0.2086,0.1294,1.6783004552352,0.25241066364152,2.36900011252146,0.1825,0.17915,0.29395
25,1,12.4825993024108,41.6648697459407,3.66638875007629,41.6649627685547,793.110717773438,3,72.0259094238281,6.99177837371826,0.127500006055925,1735.06127929688,-0.278688524590164,0.360245183887916,0.16055,1.3746132850647,2.20791042233043,0.16465,0.0611,1.56190476190476,0.217877094972067,0.942000044742599,0.1405,0.16175,0.3452
26,1,12.2190701925079,41.9283140755614,3.78831577301025,41.9284057617188,779.519287109375,3,44.9915580749512,6.7961597442627,0.111000005272217,996.3916015625,-0.114164904862579,0.278339228566616,0.18555,1.16869676113129,1.75791119460741,0.1828,0.0771,1.77130044843049,0.277147487844408,0.745000035385601,0.1491,0.1772,0.27545
27,1,12.5853027560565,41.6588263673498,4.03018426895142,41.6589202880859,863.714599609375,3,51.6011161804199,6.94319295883179,0.195300009276252,1079.88305664062,-0.0775924583031182,0.294582946920517,0.232,1.25205171108246,1.28460006101523,0.2463,0.1009,1.63461538461538,0.239766081871345,1.00200004759245,0.18635,0.2067,0.28095
28,1,12.4198233310179,42.2178647925488,4.61387586593628,42.2179565429688,854.71435546875,3,99.8713302612305,6.73011636734009,0.56480002682656,1737.9287109375,-0.477170993733214,0.454818523153942,0.1444,0.594255268573761,0.706700033566449,0.1594,0.0681,2.02332361516035,0.33719806763285,2.68500012753066,0.1455,0.1611,0.3431
29,1,11.0188800146134,42.6723788665058,3.05615520477295,42.6724700927734,599.575927734375,3,1.40732419490814,7.23802471160889,0.140400006668642,2489.73071289062,-0.123123123123123,0.317973469325805,0.145,0.941262602806091,2.01610033995987,0.14585,0.0595,1.34201954397394,0.144846796657382,1.08300005143974,0.1237,0.13155,0.2556
30,1,12.5038651997629,41.9320339117475,4.43775749206543,41.93212890625,817.79052734375,3,47.5916900634766,7.0108528137207,0.0900000042747706,1699.70629882812,-0.34788189987163,0.336436216574277,0.132,1.34691536426544,2.14674790416285,0.1357,0.04005,2.27333333333333,0.387755102040816,0.778000036953017,0.08935,0.1322,0.239
31,1,12.4253915805253,41.8086935159273,4.14047336578369,41.8087882995605,790.778869628906,3,14.9792766571045,7.34730768203735,0.798100037907716,1938.47143554688,-0.0873074101247249,0.241053084237183,0.1664,1.28045785427094,0.379241684679679,0.1702,0.07205,1.34250764525994,0.145098039215686,0.854000040562823,0.12285,0.163,0.3066
32,1,12.4501875016624,41.8176761150948,4.19935989379883,41.8177680969238,793.152526855469,3,9.012282371521,7.38133478164673,0.385500018310267,1050.87438964844,-0.143385753931545,0.367122608911085,0.1823,1.23086333274841,0.862169485395296,0.1907,0.08675,1.72425249169435,0.264957264957265,2.30200010933913,0.16095,0.17545,0.4053
33,1,12.4414452268698,41.9508534555321,4.37021684646606,41.9509468078613,829.906860351562,3,78.4739227294922,6.87096166610718,0.289600013755262,1192.56884765625,-0.198163733741392,0.292121918196417,0.1417,1.2354656457901,1.24816394817349,0.1511,0.05855,1.53735632183908,0.209988649262202,1.60400007618591,0.132,0.15365,0.25905
34,1,12.441994767952,41.9520976622625,4.37202262878418,41.9521903991699,830.436157226562,3,72.9718170166016,6.87389087677002,0.384900018281769,1209.72253417969,-0.226229508196721,0.357293802733122,0.1429,1.20798742771149,1.12663338684554,0.16045,0.06375,1.44067796610169,0.178272980501393,2.57200012216344,0.1394,0.1632,0.34525
35,1,8.02225742897103,45.0231766915859,4.93688631057739,45.023265838623,733.109619140625,4,217.020721435547,6.53456449508667,0.853800040553324,1860.86157226562,0.14519056261343,0.124090833379601,0.1605,-0.649415910243988,0.0694388921870591,0.1843,0.145,1.57615894039735,0.222651222651223,3.20600015227683,0.224,0.1812,0.3561
36,1,8.02317543364818,44.9691729625643,4.9091739654541,44.9692611694336,727.898193359375,4,221,6.58898687362671,0.882700041926,2049.06567382812,0.133520074696545,0.112636894966805,0.1948,-0.616860568523407,-0.00273888901897913,0.1902,0.1559,1.59428571428571,0.228224917309813,3.39400016120635,0.2285,0.1803,0.3699
37,1,8.18107515459482,44.565311599748,4.56863355636597,44.5653991699219,750.530883789062,4,403.316986083984,6.98788356781006,0.804100038192701,1378.14416503906,0.0644654088050314,0.121507190219298,0.14855,0.019931534305215,0.0758111147119457,0.14075,0.087,2.23188405797101,0.380053908355795,3.18600015132688,0.13875,0.15325,0.3464
38,1,8.10344925035274,44.6997659907783,4.72360992431641,44.6998558044434,743.108703613281,4,301.726928710938,7.4774317741394,0.927300044044387,1901.72900390625,0,0.11661668049263,0.1692,-0.387988179922104,0.00435000020661391,0.1746,0.1153,1.54615384615385,0.213709677419355,2.99600014230236,0.1696,0.1696,0.3611
39,NA,7.87524379666565,44.7517604113296,4.83755731582642,44.7518501281738,698.54248046875,4,359.930358886719,6.01054525375366,0.800100038002711,2037.44494628906,0.0203327171903882,0.17606125813934,0.2535,-0.399710088968277,0.12939722836826,0.2476,0.1262,1.40202702702703,0.166197183098591,2.9820001416374,0.2027,0.1806,0.2866
